Treatment,Replica,FOV,Time,CellCount,CellArea,NucleusArea,mRNA_nucleus,mRNA_cytosol
Drug8_1000nM,rep1,FOV1,0,1,7239,2922,1.0,2.0
Drug8_1000nM,rep1,FOV1,0,2,7446,2671,0.0,3.0
Drug8_1000nM,rep1,FOV1,0,3,7417,2900,0.0,19.0
Drug8_1000nM,rep1,FOV1,0,4,8380,2825,0.0,9.0
Drug8_1000nM,rep1,FOV1,0,5,7533,3456,1.0,0.0
Drug8_1000nM,rep1,FOV1,0,6,7018,3780,2.0,0.0
Drug8_1000nM,rep1,FOV1,0,7,7993,2785,0.0,10.0
Drug8_1000nM,rep1,FOV1,0,8,5004,2779,0.0,0.0
Drug8_1000nM,rep1,FOV1,0,9,4689,2524,0.0,0.0
Drug8_1000nM,rep1,FOV1,0,10,4779,2420,0.0,0.0
Drug8_1000nM,rep1,FOV1,0,11,7398,2994,0.0,11.0
Drug8_1000nM,rep1,FOV1,0,12,6974,4117,2.0,0.0
Drug8_1000nM,rep1,FOV1,0,13,8553,7829,2.0,0.0
Drug8_1000nM,rep1,FOV1,0,14,6703,2469,0.0,0.0
Drug8_1000nM,rep1,FOV1,1,1,7299,2848,0.0,4.0
Drug8_1000nM,rep1,FOV1,1,2,7382,2711,0.0,1.0
Drug8_1000nM,rep1,FOV1,1,3,7436,2987,0.0,13.0
Drug8_1000nM,rep1,FOV1,1,4,8351,2759,0.0,2.0
Drug8_1000nM,rep1,FOV1,1,5,7483,3106,0.0,11.0
Drug8_1000nM,rep1,FOV1,1,6,6993,2927,1.0,0.0
Drug8_1000nM,rep1,FOV1,1,7,8024,2868,0.0,12.0
Drug8_1000nM,rep1,FOV1,1,8,4502,2843,0.0,0.0
Drug8_1000nM,rep1,FOV1,1,9,4369,2608,0.0,0.0
Drug8_1000nM,rep1,FOV1,1,10,5547,2349,0.0,0.0
Drug8_1000nM,rep1,FOV1,1,11,7346,2903,0.0,14.0
Drug8_1000nM,rep1,FOV1,1,12,7014,3846,2.0,0.0
Drug8_1000nM,rep1,FOV1,1,13,8553,7339,2.0,0.0
Drug8_1000nM,rep1,FOV1,1,14,6965,2464,0.0,2.0
Drug8_1000nM,rep1,FOV1,2,1,7299,2879,1.0,2.0
Drug8_1000nM,rep1,FOV1,2,2,7466,2680,0.0,1.0
Drug8_1000nM,rep1,FOV1,2,3,7444,2927,0.0,11.0
Drug8_1000nM,rep1,FOV1,2,4,8280,2785,0.0,2.0
Drug8_1000nM,rep1,FOV1,2,5,7482,2956,0.0,16.0
Drug8_1000nM,rep1,FOV1,2,6,6982,2751,0.0,5.0
Drug8_1000nM,rep1,FOV1,2,7,7982,2861,0.0,15.0
