Treatment,Replica,FOV,Time,CellCount,CellArea,NucleusArea,mRNA_nucleus,mRNA_cytosol
Drug8_1000nM,rep2,FOV1,0,1,8047,6762,3.0,0.0
Drug8_1000nM,rep2,FOV1,0,2,8274,4498,0.0,1.0
Drug8_1000nM,rep2,FOV1,0,3,4417,2828,0.0,0.0
Drug8_1000nM,rep2,FOV1,0,4,7996,4206,0.0,0.0
Drug8_1000nM,rep2,FOV1,0,5,8001,7533,2.0,0.0
Drug8_1000nM,rep2,FOV1,0,6,8063,7065,2.0,0.0
Drug8_1000nM,rep2,FOV1,0,7,7573,4246,0.0,0.0
Drug8_1000nM,rep2,FOV1,0,8,7356,6572,0.0,0.0
Drug8_1000nM,rep2,FOV1,0,9,7276,2840,2.0,0.0
Drug8_1000nM,rep2,FOV1,0,10,7826,7056,2.0,0.0
Drug8_1000nM,rep2,FOV1,0,11,7237,3100,0.0,0.0
Drug8_1000nM,rep2,FOV1,0,12,7840,6895,9.0,0.0
Drug8_1000nM,rep2,FOV1,0,13,6901,3647,0.0,0.0
Drug8_1000nM,rep2,FOV1,0,14,8780,4155,0.0,2.0
Drug8_1000nM,rep2,FOV1,1,1,8220,6552,7.0,3.0
Drug8_1000nM,rep2,FOV1,1,2,8466,4019,0.0,1.0
Drug8_1000nM,rep2,FOV1,1,3,5709,2949,0.0,0.0
Drug8_1000nM,rep2,FOV1,1,4,8269,3206,0.0,0.0
Drug8_1000nM,rep2,FOV1,1,5,8253,7441,2.0,0.0
Drug8_1000nM,rep2,FOV1,1,6,8207,6882,5.0,0.0
Drug8_1000nM,rep2,FOV1,1,7,7769,3911,0.0,0.0
Drug8_1000nM,rep2,FOV1,1,8,7821,6508,0.0,0.0
Drug8_1000nM,rep2,FOV1,1,9,7300,2858,2.0,0.0
Drug8_1000nM,rep2,FOV1,1,10,7861,6953,2.0,0.0
Drug8_1000nM,rep2,FOV1,1,11,7625,2975,0.0,0.0
Drug8_1000nM,rep2,FOV1,1,12,8018,7071,11.0,0.0
Drug8_1000nM,rep2,FOV1,1,13,6371,3692,0.0,0.0
Drug8_1000nM,rep2,FOV1,2,1,8205,6179,5.0,5.0
Drug8_1000nM,rep2,FOV1,2,2,8418,3941,0.0,2.0
Drug8_1000nM,rep2,FOV1,2,3,7273,2840,0.0,0.0
Drug8_1000nM,rep2,FOV1,2,4,8116,3225,1.0,0.0
Drug8_1000nM,rep2,FOV1,2,5,8215,7357,7.0,5.0
Drug8_1000nM,rep2,FOV1,2,6,7606,6358,0.0,0.0
Drug8_1000nM,rep2,FOV1,2,7,7779,3378,0.0,0.0
Drug8_1000nM,rep2,FOV1,2,8,7240,6570,2.0,0.0
Drug8_1000nM,rep2,FOV1,2,9,7680,3072,1.0,0.0
Drug8_1000nM,rep2,FOV1,2,10,6151,6703,0.0,0.0
Drug8_1000nM,rep2,FOV1,2,11,7911,2953,11.0,0.0
Drug8_1000nM,rep2,FOV1,2,12,6652,6904,0.0,0.0
Drug8_1000nM,rep2,FOV1,2,13,8858,3791,0.0,10.0
Drug8_1000nM,rep2,FOV1,0,1,7779,2456,0.0,3.0
