Treatment,Replica,FOV,Time,CellCount,CellArea,NucleusArea,mRNA_nucleus,mRNA_cytosol
Drug10_1000nM,rep2,FOV1,0,1,7529,2769,0.0,0.0
Drug10_1000nM,rep2,FOV1,0,2,7594,2702,0.0,7.0
Drug10_1000nM,rep2,FOV1,0,3,7090,2692,0.0,11.0
Drug10_1000nM,rep2,FOV1,0,4,7704,2463,0.0,7.0
Drug10_1000nM,rep2,FOV1,0,5,6879,2960,1.0,2.0
Drug10_1000nM,rep2,FOV1,0,6,7962,2562,0.0,8.0
Drug10_1000nM,rep2,FOV1,0,7,7842,2916,0.0,7.0
Drug10_1000nM,rep2,FOV1,0,8,8607,7184,2.0,0.0
Drug10_1000nM,rep2,FOV1,0,9,3979,2128,0.0,0.0
Drug10_1000nM,rep2,FOV1,0,10,8072,2628,0.0,7.0
Drug10_1000nM,rep2,FOV1,0,11,6975,2609,0.0,4.0
Drug10_1000nM,rep2,FOV1,1,1,7442,2741,0.0,0.0
Drug10_1000nM,rep2,FOV1,1,2,7599,2698,0.0,1.0
Drug10_1000nM,rep2,FOV1,1,3,7126,2884,1.0,2.0
Drug10_1000nM,rep2,FOV1,1,4,7765,2509,0.0,10.0
Drug10_1000nM,rep2,FOV1,1,5,6829,3702,1.0,2.0
Drug10_1000nM,rep2,FOV1,1,6,8037,2616,0.0,13.0
Drug10_1000nM,rep2,FOV1,1,7,7841,2976,0.0,12.0
Drug10_1000nM,rep2,FOV1,1,8,8600,6463,2.0,0.0
Drug10_1000nM,rep2,FOV1,1,9,3710,2249,0.0,0.0
Drug10_1000nM,rep2,FOV1,1,10,8147,2625,0.0,2.0
Drug10_1000nM,rep2,FOV1,1,11,6984,2689,0.0,14.0
Drug10_1000nM,rep2,FOV1,2,1,7569,2790,0.0,0.0
Drug10_1000nM,rep2,FOV1,2,2,7595,2726,0.0,4.0
Drug10_1000nM,rep2,FOV1,2,3,7140,2877,0.0,4.0
Drug10_1000nM,rep2,FOV1,2,4,7741,2478,0.0,9.0
Drug10_1000nM,rep2,FOV1,2,5,6808,2974,0.0,11.0
Drug10_1000nM,rep2,FOV1,2,6,8028,2727,0.0,7.0
Drug10_1000nM,rep2,FOV1,2,7,7878,3075,1.0,4.0
Drug10_1000nM,rep2,FOV1,2,8,8549,4482,2.0,0.0
Drug10_1000nM,rep2,FOV1,2,9,3938,2163,0.0,0.0
Drug10_1000nM,rep2,FOV1,2,10,8085,2600,0.0,0.0
Drug10_1000nM,rep2,FOV1,2,11,7063,2819,0.0,10.0
Drug10_1000nM,rep2,FOV1,3,1,7577,2795,0.0,3.0
Drug10_1000nM,rep2,FOV1,3,2,7605,2741,0.0,2.0
Drug10_1000nM,rep2,FOV1,3,3,7148,2848,1.0,2.0
Drug10_1000nM,rep2,FOV1,3,4,7788,2868,0.0,9.0
Drug10_1000nM,rep2,FOV1,3,5,6806,2786,0.0,16.0
Drug10_1000nM,rep2,FOV1,3,6,8092,5369,2.0,0.0
Drug10_1000nM,rep2,FOV1,3,7,7845,3036,0.0,7.0
Drug10_1000nM,rep2,FOV1,3,8,8569,3671,2.0,0.0
Drug10_1000nM,rep2,FOV1,3,9,4474,2291,0.0,0.0
Drug10_1000nM,rep2,FOV1,3,10,7991,2582,0.0,1.0
Drug10_1000nM,rep2,FOV1,3,11,7057,2837,0.0,12.0
Drug10_1000nM,rep2,FOV1,4,1,7564,2797,0.0,1.0
Drug10_1000nM,rep2,FOV1,4,2,7607,2670,0.0,1.0
Drug10_1000nM,rep2,FOV1,4,3,7140,2834,0.0,5.0
Drug10_1000nM,rep2,FOV1,4,4,7774,3493,1.0,3.0
Drug10_1000nM,rep2,FOV1,4,5,6737,2719,0.0,5.0
Drug10_1000nM,rep2,FOV1,4,6,8049,4940,2.0,0.0
Drug10_1000nM,rep2,FOV1,4,7,7893,3247,0.0,5.0
Drug10_1000nM,rep2,FOV1,4,8,8549,3294,1.0,2.0
Drug10_1000nM,rep2,FOV1,4,9,4679,2367,0.0,0.0
Drug10_1000nM,rep2,FOV1,4,10,7976,2625,0.0,0.0
Drug10_1000nM,rep2,FOV1,4,11,7046,2870,0.0,11.0
Drug10_1000nM,rep2,FOV1,5,1,7658,2762,0.0,0.0
Drug10_1000nM,rep2,FOV1,5,2,7718,2680,0.0,0.0
Drug10_1000nM,rep2,FOV1,5,3,7170,2660,0.0,0.0
Drug10_1000nM,rep2,FOV1,5,4,7829,2555,0.0,2.0
Drug10_1000nM,rep2,FOV1,5,5,6523,2802,0.0,0.0
Drug10_1000nM,rep2,FOV1,5,6,8080,2593,0.0,1.0
Drug10_1000nM,rep2,FOV1,5,7,7911,2754,0.0,0.0
Drug10_1000nM,rep2,FOV1,5,8,8515,2828,0.0,0.0
Drug10_1000nM,rep2,FOV1,5,9,4342,1588,0.0,0.0
Drug10_1000nM,rep2,FOV1,5,10,8161,2648,0.0,0.0
Drug10_1000nM,rep2,FOV1,5,11,7007,2602,0.0,0.0
Drug10_1000nM,rep2,FOV1,6,1,7767,2790,0.0,0.0
